label	bucket	rows	n_docs	fields	example_context
DSM 113848T	strain designation	1	1	strains	"... is proposed. The type strain is strain SWIR-1T (=[[DSM 113848T]]=MCCC 1K07078T).
"
DSM 113832T	strain designation	1	1	strains	... that Chloracidobacterium validum strain BV2-CT (=[[DSM 113832T]]=JCM 39534T) represents a novel species of the gen..
DSM 113746T	strain designation	1	1	strains	...ain J379T is proposed to represent a type strain ([[DSM 113746T]]=CCM 9300T) of Svornostia abyssi gen. nov. sp. nov..
DSM 113654T	strain designation	1	1	strains	...seudomonas kulmbachensis sp. nov. is V3/3/4/13T (=[[DSM 113654T]]=LMG 32520T), a second strain belonging to the sam..
DSM 112301T	strain designation	1	1	strains	"...me Sagittula salina sp. nov. (type strain M10.9XT=[[DSM 112301T]]=CECT 30307T) is proposed.
"
DSM 112294T	strain designation	1	1	strains	...oposed. The type strain is NLS-7T (=ATCC TSD-256T=[[DSM 112294T]]). The 16S rRNA gene and genome sequences of strai..
DSM 112293T	strain designation	1	1	strains	...thylomonas rivi (type strain WSC-6T=ATCC TSD-251T=[[DSM 112293T]]), Methylomonas rosea (type strain WSC-7T=ATCC TSD..
DSM 109713T	strain designation	1	1	strains	...solifontis NBRC 113441T and Micromonospora veneta [[DSM 109713T]]. Chemotaxonomic analyses (fatty acids, polar lipi..
DSM 1076T	strain designation	1	1	strains	...f these three strains are Flavobacterium flevense [[DSM 1076T]], 'Flavobacterium undicola' BBQ-18T and Flavobacte...
DSM 10704T	strain designation	1	1	strains	...uatilis M1A1T (98.1%) and Psychromonas antarctica [[DSM 10704T]] (97.1%) for strains RZ5T and RZ22T, respectively....
DSM 10702T	strain designation	1	1	strains	... type species of the genus, Clostridium butyricum [[DSM 10702T]], 93.9%). The genome analysis of strain TW13T indi...
DSM 106146T	strain designation	1	1	strains	...t phylogenetic neighbour, Catenibacillus scindens [[DSM 106146T]], and 93.3 % similarity between CSJ-4T and its clo..
DSM 105964T	strain designation	1	1	strains	"...nov. is proposed. The type strain is CFH 90308T (=[[DSM 105964T]]=KCTC 49052T).
"
DSM 10594T	strain designation	1	1	strains	... donghaensis SW-132T and Erythrobacter tepidarius [[DSM 10594T]], respectively. The genome of strain COR-2T compri...
DSM 105849T	strain designation	1	1	strains	...us circumpalustris sp. nov (type strain Swamp196T=[[DSM 105849T]]=CECT 30420T) of the novel genus Aurantibacillus g..
DSM 104744T	strain designation	1	1	strains	...m palauense CECT 8779T and Mycobacterium grossiae [[DSM 104744T]] should also members of genus Mycolicibacterium. T..
DSM 104389T	strain designation	1	1	strains	...placed the new taxon close to Clostridium tepidum [[DSM 104389T]] and to members of the Clostridium botulinum Group..
DSM 104299T	strain designation	1	1	strains	"...duia alba sp. nov. with the type strain 0141_2T (=[[DSM 104299T]]=LMG 30000T=CECT 9239T).
"
DSM 104003T	strain designation	1	1	strains	...coccus, and is related to Rhodococcus gannanensis [[DSM 104003T]], Rhodococcus aerolatus KCTC29240T and Rhodococcus..
DSM 103379T	strain designation	1	1	strains	"...phytophilus sp. nov. The type strain is PIP175T (=[[DSM 103379T]]=TBRC 6026T).
"
DSM 103159T	strain designation	1	1	strains	...was most closely related to Olsenella phocaeensis [[DSM 103159T]], Olsenella urininfantis KCTC 25755T and Olsenella..
DSM 102030T	strain designation	1	1	strains	...most closely related to Lipingzhangella halophila [[DSM 102030T]] and Allosalinactinospora lopnorensis DSM 45697T w..
DSM 101999T	strain designation	1	1	strains	...larity of 99.65 % to Kitasatospora cheerisanensis [[DSM 101999T]] and 98.82 % to Kitasatospora niigatensis DSM 4478..
DSM 101595T	strain designation	1	1	strains	... S. isronensis DSM 21046T (97.6 %) and S. kalamii [[DSM 101595T]] (96.6 %). The G+C content of the genomic DNA was ..
DSM 10146T	strain designation	1	1	strains	...r manganoxidans VSW210T and Salipiger thiooxidans [[DSM 10146T]]; 95.3% with Marivivens donghaensis AM-4T and Hist...
DSM 10112T	strain designation	1	1	strains	...ayderensis DSM 14988 (92.9%-50.5%), A. ayderensis [[DSM 10112T]] (92.4%-48.6%), A. thermarum DSM 17141T (92.6%-48....
DSM 100756T	strain designation	1	1	strains	"...sp. nov. The type strain is CYW5T (=BCRC AR10048T=[[DSM 100756T]]=NBRC 111404T).
"
DSM 100576T	strain designation	1	1	strains	... reference type strain of Paenibacillus wenxiniae [[DSM 100576T]] (similarity of 97.0%). The genomic relatedness va..
DSM 10037T	strain designation	1	1	strains	...ene similarity to Virgibacillus halodenitrificans [[DSM 10037T]] (97.6%). The average nucleotide identity values b...
DSM 108248T	strain designation	1	1	strains	...n. nov., sp. nov. (type strain IAD-21T=JCM 32665T=[[DSM 108248T]]), which belongs to the family Abditibacteriaceae...
DSM 109919T	strain designation	1	1	strains	... Edaphobacter paludis sp. nov. (type strain JP48T=[[DSM 109919T]]=CECT 30269T; additional strain JP55=DSM 109920=CE..
DSM 112283T	strain designation	1	1	strains	"...as subterranea (type strain SURF-2T=ATCC TSD-254T=[[DSM 112283T]]) are proposed.
"
DSM 110247T	strain designation	1	1	strains	"...p. nov. is proposed. The type strain is AMB_01T (=[[DSM 110247T]]=JCM 39107 T).
"
DSM 112282T	strain designation	1	1	strains	...ylomonas aurea (type strain SURF-1T=ATCC TSD-253T=[[DSM 112282T]]), and Methylomonas subterranea (type strain SURF-..
DSM 112281T	strain designation	1	1	strains	...hylomonas rosea (type strain WSC-7T=ATCC TSD-252T=[[DSM 112281T]]), Methylomonas aurea (type strain SURF-1T=ATCC TS..
DSM 112164T	strain designation	1	1	strains	... nov., sp. nov. is proposed, with strain IC12T (= [[DSM 112164T]]=JCM 39166T) as the type strain. We also propose t..
DSM 112100T	strain designation	1	1	strains	...ZC6T as the type strain (=MAFF 212518T=JCM 32810T=[[DSM 112100T]]). This study also proposed Clostridium indicum Gu..
DSM 112043T	strain designation	1	1	strains	".... is proposed, with NEAU-A12T (=CCTCC AA 2020039T=[[DSM 112043T]]) as the type strain.
"
DSM 111787T	strain designation	1	1	strains	...5T=LMG 32088T=CCM 9087T) and JJ-60T (=CIP 111894T=[[DSM 111787T]]=LMG 32090T=CCM 9086T) as the type strains, respec..
DSM 111785T	strain designation	1	1	strains	...i sp. nov. are proposed, with JJ-7T (=CIP 111892T=[[DSM 111785T]]=LMG 32088T=CCM 9087T) and JJ-60T (=CIP 111894T=DS..
DSM 111734T	strain designation	1	1	strains	...mes Flavobacterium psychraerolatum (7AT=CCM 8976T=[[DSM 111734T]]), Flavobacterium aeripolare (14AT=CCM 8972T=CGMCC..
DSM 111727T	strain designation	1	1	strains	...iensis sp. nov. with the type strain USC-21046T (=[[DSM 111727T]]=NCCB 100867T) and Nocardia spumae sp. nov. with t..
DSM 111726T	strain designation	1	1	strains	"...spumae sp. nov. with the type strain USC-21048T (=[[DSM 111726T]]=NCCB 100868T).
"
DSM 111415T	strain designation	1	1	strains	... Microbacteriaceae. We suggest that SG_E_30_P1T (=[[DSM 111415T]]=NCAIM B.02656T) represents the type strain of a n..
DSM 11140T	strain designation	1	1	strains	...NA gene sequence similarity to Janibacter limosus [[DSM 11140T]] and Janibacter terrae NBRC 107853T (99.03-99.10%)...
DSM 111111T	strain designation	1	1	strains	...oticus silvisoli comb. nov., with isolate SL54T (=[[DSM 111111T]]=PCM3044T) as the type strain, and that S. ferrali..
DSM 110863T	strain designation	1	1	strains	...sinensis sp. nov. (type strain, Nd2T=NCIMB 15249T=[[DSM 110863T]]), respectively, within the genus Nitrosotalea gen..
DSM 110862T	strain designation	1	1	strains	...niterrae sp. nov. (type strain, Nd1T=NCIMB 15248T=[[DSM 110862T]]) and Nitrosotalea sinensis sp. nov. (type strain,..
DSM 110686T	strain designation	1	1	strains	... nov. with the type strain OakleyT (=NCTC 14352T =[[DSM 110686T]]) is proposed. The genomic DNA G+C content and com..
DSM 110680T	strain designation	1	1	strains	...llatibacter bavaricus sp. nov. (type strain JP12T=[[DSM 110680T]]=CECT 30267T) within the acidobacterial order Terr..
DSM 110637T	strain designation	1	1	strains	".... The type strain is NEAU-Y5T (=CCTCC AA 2019087T=[[DSM 110637T]]).
"
DSM 110568T	strain designation	1	1	strains	...cum sp. nov. (type strain NEAU-140T=MCCC 1K08801T=[[DSM 110568T]]) and Methylobacterium ligniniphilum sp. nov. (typ..
DSM 110567T	strain designation	1	1	strains	"...hilum sp. nov. (type strain NEAU-KT=MCCC 1K08800T=[[DSM 110567T]]) are proposed.
"
DSM 110248T	strain designation	1	1	strains	"...ormicicus is proposed. The type strain is AMB_02T=[[DSM 110248T]]=JCM 39108T.
"
DSM 114609T	strain designation	1	1	strains	...isting of strains ID357T and ID1048 with ID357T (=[[DSM 114609T]]=ATCC TSD-304T) as the type strain; and Pseudomona..
DSM 114610T	strain designation	1	1	strains	"...sisting of strains ID656T and ID681 with ID656T (=[[DSM 114610T]]=ATCC TSD-306T) as the type strain.
"
DSM 114640T	strain designation	1	1	strains	...of strains ID291T, ID609 and ID1025 with ID291T (=[[DSM 114640T]]=ATCC TSD-303T) as the type strain; Pseudomonas id..
DSM 11697T	strain designation	1	1	strains	...inulinus NRIC 1133T and Sporolactobacillus terrae [[DSM 11697T]] (both 96.6 % similarity), and Sporolactobacillus ...
DSM 116946T	strain designation	1	1	strains	...results of this study indicate that strain B14T (=[[DSM 116946T]]=LMG 33352T) represents a novel species of the gen..
DSM 116866T	strain designation	1	1	strains	...bacter flintii sp. nov. (type strain JCM 36130T = [[DSM 116866T]]) and Owariibacterium komagatae gen. nov. sp. nov...
DSM 116836T	strain designation	1	1	strains	"...., with the type strain CBA3628T (= KACC 23049T = [[DSM 116836T]]).
"
DSM 116810T	strain designation	1	1	strains	...ibrio falkowii sp. nov. (type strain JCM 36128T = [[DSM 116810T]]), Porphyromonas miyakawae sp. nov. (type strain J..
DSM 116809T	strain designation	1	1	strains	...cterization indicated that strain UGRO018_0423T (=[[DSM 116809T]]=ATCC TSD-466T) represents a novel species within ..
DSM 116804T	strain designation	1	1	strains	"...oligenes. The type strain is M14.4T (=CCUG 77347T=[[DSM 116804T]]) isolated from a cattle tongue in Scotland.
"
DSM 116640T	strain designation	1	1	strains	"...aerium sp. nov. The type strain is ISCaR-07695T (=[[DSM 116640T]] =UBOOC-M-3567T).
"
DSM 116605T	strain designation	1	1	strains	...motaxonomic studies, we propose that strain M1T (=[[DSM 116605T]]=JCM 36570T) represents a new genus and species, O..
DSM 116496T	strain designation	1	1	strains	Streptomyces strains DSM 116494T and [[DSM 116496T]] were isolated from sediment samples of the River ...; ...eached 99.
DSM 116494T	strain designation	1	1	strains	Streptomyces strains [[DSM 116494T]] and DSM 116496T were isolated from sediment sampl...; ...omyces species reached 99.
DSM 116485T	strain designation	1	1	strains	"...illus brownii sp. nov. (type strain WILCCON 0030T=[[DSM 116485T]]=LMG 33211T).
"
DSM 116433T	strain designation	1	1	strains	"...sp. nov. is proposed. The type strain is HK31-PT ([[DSM 116433T]]=UBOCC-M-3430T).
"
DSM 116424T	strain designation	1	1	strains	...okoriensis, while strain DLS-62T (= KACC 23345T = [[DSM 116424T]]) represents a new species of the genus Actinomadu..
DSM 116423	strain designation	1	1	strains	...t the conclusion that strain DLS-47 (= KACC 23347=[[DSM 116423]]) is a strain of A. chokoriensis, while strain DLS...
DSM 116385T	strain designation	1	1	strains	"...ov., sp. nov. (type strain CA-0114T=ATCC TSD-396T=[[DSM 116385T]]).
"
DSM 116383T	strain designation	1	1	strains	"...album sp. nov. (type strain, KSW4-17T=KACC 23323T=[[DSM 116383T]]) are proposed.
"
DSM 116381T	strain designation	1	1	strains	...itans sp. nov. (type strain, KSW2-21T=KACC 23322T=[[DSM 116381T]]), Microbacterium phycohabitans sp. nov. (type str..
DSM 116376T	strain designation	1	1	strains	.... nov. is proposed with the type strain EB0058T (=[[DSM 116376T]]=NCIMB 15474T). According to the results of 16S rR..
DSM 116297T	strain designation	1	1	strains	"...D0937T (=DSM 116105T=NCIMB 15471T) and SCR0063T (=[[DSM 116297T]]=NCIMB 15473T), respectively.
"
DSM 116216T	strain designation	1	1	strains	...roposed, represented by the type strains LM112T (=[[DSM 116216T]]=HAMBI 3782T) and R4T (=DSM 116183T=HAMBI 3785T), ..
DSM 116197T	strain designation	1	1	strains	...otypic, genetic and genomic data, strain WL48AT (=[[DSM 116197T]] = NCIMB 15483T=NCCB 100957T =ATCC TSD-376T) merit..
DSM 116947T	strain designation	1	1	strains	...onas miyakawae sp. nov. (type strain JCM 36129T = [[DSM 116947T]]), Mediterraneibacter flintii sp. nov. (type strai..
DSM 116982T	strain designation	1	1	strains	"...atae gen. nov. sp. nov. (type strain JCM 36131T = [[DSM 116982T]]), respectively.
"
DSM 116188T	strain designation	1	1	strains	.... nov. with the first isolate M5725T (NCTC 14922T=[[DSM 116188T]]) as the proposed type strain and representative s..
DSM 11701T	strain designation	1	1	strains	...s closely related to Sporolactobacillus kofuensis [[DSM 11701T]] and Sporolactobacillus spathodeae BK117-1T (both ...
DSM 117644ᵀ	strain designation	1	1	strains	...typic characteristics, we propose strain Z1-71ᵀ (=[[DSM 117644ᵀ]]=JCM 36072ᵀ) as the type strain of a novel species..
DSM 117599T	strain designation	1	1	strains	"...nov. is proposed, with strain H4R21T (=CFBP 9203T=[[DSM 117599T]]) as the type strain.
"
DSM 117564T	strain designation	1	1	strains	"...sed. The type strain is CBA3109T (= KACC 23387T = [[DSM 117564T]]).
"
DSM 117478T	strain designation	1	1	strains	"...yticum sp. nov., with the type strain FAM 1755T (=[[DSM 117478T]]=LMG 33232T=CCOS 2102T).
"
DSM 117471T	strain designation	1	1	strains	"...e sp. nov. is proposed. The type strain is RB5T (=[[DSM 117471T]]=LMG 33633T=CIP 112482T).
"
DSM 117405T	strain designation	1	1	strains	...halolimnae gen. nov., sp. nov., type strain SD1T ([[DSM 117405T]] = TSD-443T). From this work, we also propose repo..
DSM 117391T	strain designation	1	1	strains	"...ensis sp. nov. [type strain, N1-10T (=KCTC 19257T=[[DSM 117391T]]=NRRL B-24556T)] are proposed.
"
DSM 117389T	strain designation	1	1	strains	...lus cavernicola [type strain, N8-3T (=KCTC 29470T=[[DSM 117389T]])] and Streptacidiphilus jeojiensis sp. nov. [type..
DSM 117375T	strain designation	1	1	strains	...p. nov. is proposed. The type strain is Je 1-4T (=[[DSM 117375T]]=LMG 33490T). Additionally, we propose that S. lib..
DSM 117342T	strain designation	1	1	strains	"...inus paludis sp. nov. The type strain is SB140T (=[[DSM 117342T]]=JCM 39521T).
"
DSM 117338T	strain designation	1	1	strains	"...s proposed. The type strain is NT6NT (=JCM 36658T=[[DSM 117338T]]=MCCC 1K09726T).
"
DSM 117337T	strain designation	1	1	strains	"...strain DMSP-1T = CCTCC AB 2019124T = JCM 36636T = [[DSM 117337T]]) are proposed.
"
DSM 117336T	strain designation	1	1	strains	...rain BSw22131T = CCTCC AB 2019135T = JCM 36635T = [[DSM 117336T]]) and Pseudomonas fjordensis sp. nov. (type strain..
DSM 117324T	strain designation	1	1	strains	"...iella saturejae sp. nov. with He02T (=CECT 31001T=[[DSM 117324T]]=CCM 9395T) as type strain is proposed.
"
DSM 117252T	strain designation	1	1	strains	...ains Mut1T (=DSM 117248T=CCUG 77596T) and Alt3T (=[[DSM 117252T]]=CCUG 77600T) representing the respective type str..
DSM 117248T	strain designation	1	1	strains	...orans sp. nov. are proposed, with strains Mut1T (=[[DSM 117248T]]=CCUG 77596T) and Alt3T (=DSM 117252T=CCUG 77600T)..
DSM 11713T	strain designation	1	1	strains	...99.9 % similarity), Psychrobacillus psychrodurans [[DSM 11713T]] (99.8 %) and Psychrobacillus glaciei PB01T (99.2 ...
DSM 11706T	strain designation	1	1	strains	...losely related to Psychrobacillus psychrotolerans [[DSM 11706T]] (99.9 % similarity), Psychrobacillus psychroduran...
DSM 117030T	strain designation	1	1	strains	...029T) and CLIP 2022/01000T (F66L-1A=CIP 112443T = [[DSM 117030T]]), respectively. Both taxa lack known Listeria pat..
DSM 117029T	strain designation	1	1	strains	...pe strains CLIP 2022/01175T (F6L-1A=CIP 112444T = [[DSM 117029T]]) and CLIP 2022/01000T (F66L-1A=CIP 112443T = DSM ..
DSM 117028T	strain designation	1	1	strains	...onomic characterisations, EV16PT (= KCTC 8296T, = [[DSM 117028T]]) is proposed as a representative of a novel speci..
DSM 116196T	strain designation	1	1	strains	"...nov. is proposed. The type strain is NRRL 3884T (=[[DSM 116196T]]).
"
DSM 116183T	strain designation	1	1	strains	"...rains LM112T (=DSM 116216T=HAMBI 3782T) and R4T (=[[DSM 116183T]]=HAMBI 3785T), respectively.
"
DSM 114641T	strain designation	1	1	strains	... of strains ID233, ID386T and ID387 with ID386T (=[[DSM 114641T]]=ATCC TSD-305T) as the type strain; Pseudomonas ru..
DSM 115528T	strain designation	1	1	strains	...alis subsp. nov. (type strain BF125T=MAFF 212522T=[[DSM 115528T]]). Our findings also led to the automatic creation..
DSM 115341T	strain designation	1	1	strains	...train of M. cairinae sp. nov., AT1T (=CCUG 76754T=[[DSM 115341T]]) is 37.99 mol%, calculated from the whole genome...
DSM 115297T	strain designation	1	1	strains	.... nov. The type strain is A18Y020dT (=CIP 112216T=[[DSM 115297T]]). The implications of this bacterium for albatros..
DSM 115238T	strain designation	1	1	strains	"... The type strain of the species is strain D2M1T (=[[DSM 115238T]]=NCAIM B.02679T).
"
DSM 115185T	strain designation	1	1	strains	...Vagococcus proximus sp. nov. (type strain PNs007T=[[DSM 115185T]]=CCUG 76696T) and Vagococcus intermedius sp. nov. ..
DSM 115183T	strain designation	1	1	strains	"...ococcus intermedius sp. nov. (type strain STAA11T=[[DSM 115183T]]=CCUG 76697T) for these novel species.
"
DSM 115155T	strain designation	1	1	strains	...data supported the assignment of strain PVT-9aT (=[[DSM 115155T]]=RGM 3472T) as representing a novel species of Ten..
DSM 115096T	strain designation	1	1	strains	"... sp. nov. is proposed. The type strain is Val9T (=[[DSM 115096T]]=CCGB 1952T=NRRL B-65674T).
"
DSM 114983T	strain designation	1	1	strains	"...p. nov. is proposed. The type strain is H27-S2T (=[[DSM 114983T]]=CGMCC 4.7867T).
"
DSM 114974T	strain designation	1	1	strains	"...m sp. nov. The type strain is E14T (=NBRC 115133T=[[DSM 114974T]]).
"
DSM 114877T	strain designation	1	1	strains	...793T) and Bombella dulcis sp. nov. TMW 2.2559T (= [[DSM 114877T]], = LMG 32794T). Moreover, three genomes available..
DSM 114875T	strain designation	1	1	strains	...), Bombella saccharophila sp. nov. TMW 2.2558T (= [[DSM 114875T]], = LMG 32793T) and Bombella dulcis sp. nov. TMW 2..
DSM 114874T	strain designation	1	1	strains	...2791T), Bombella pollinis sp. nov. TMW 2.2556T (= [[DSM 114874T]], = LMG 32792T), Bombella saccharophila sp. nov. T..
DSM 114872T	strain designation	1	1	strains	...Bombella pluederhausensis sp. nov. TMW 2.2543T (= [[DSM 114872T]], = LMG 32791T), Bombella pollinis sp. nov. TMW 2...
DSM 114830T	strain designation	1	1	strains	"...m sp. nov. is proposed. The type strain is TS8T (=[[DSM 114830T]]=NCIMB 15451T).
"
DSM 114758T	strain designation	1	1	strains	"...sed to accommodate strain TW13T (= NBRC 112100T = [[DSM 114758T]]).
"
DSM 114757T	strain designation	1	1	strains	"...omonas gorinensis sp. nov. is proposed with NT2T ([[DSM 114757T]]=LMG 32751T) as the type strain.
"
DSM 114740T	strain designation	1	1	strains	...nalyses confirmed the assignment of strain CN4T (=[[DSM 114740T]] = LMG 32595T) to a novel species, with CN4T as ty..
DSM 114737T	strain designation	1	1	strains	... confirmed the assignment of strain Ag45/Mut15T (=[[DSM 114737T]]=LMG 326O1T) to a novel species, with Ag45/Mut15T ..
DSM 114696T	strain designation	1	1	strains	...icanisciuri sp. nov. with the type strain GRT3T (=[[DSM 114696T]]=CCUG 76427T=NCTC 14722T) are proposed. The genome..
DSM 114685T	strain designation	1	1	strains	...disciuri sp. nov. with the type strain SQ8-PEAT (=[[DSM 114685T]]=CCUG 76423T=NCTC 14723T) and Staphylococcus ameri..
DSM 114656T	strain designation	1	1	strains	...s sciuri sp. nov. with the type strain SQ9-PEAT (=[[DSM 114656T]]=CCUG 76426T=NCTC 14727T) is proposed, and two nov..
DSM 115342T	strain designation	1	1	strains	"...onas with the designation Silvimonas soli 17-6T (=[[DSM 115342T]]=CCM 9308T).
"
DSM 115559T	strain designation	1	1	strains	...-related indices (average nucleotide identity T (=[[DSM 115559T]]=NCAIM B.02680T) is suggested as the type strain o..
DSM 116177T	strain designation	1	1	strains	"...nd Lentzea miocenica sp. nov. for BCCO 10_0856T (=[[DSM 116177T]]).
"
DSM 115565T	strain designation	1	1	strains	... strain of Exercitatus varius, 8.5T (=CCUG 15568T=[[DSM 115565T]]), is 46.2 mol%, calculated from the whole genome...
DSM 116176T	strain designation	1	1	strains	... Lentzea kristufekii sp. nov. for BCCO 10_0798T (=[[DSM 116176T]]), and Lentzea miocenica sp. nov. for BCCO 10_0856..
DSM 116175T	strain designation	1	1	strains	...Lentzea sokolovensis sp. nov. for BCCO 10_0061T (=[[DSM 116175T]]), Lentzea kristufekii sp. nov. for BCCO 10_0798T ..
DSM 116159T	strain designation	1	1	strains	"...omusa, with the name Sporomusa carbonis sp. nov. ([[DSM 116159T]] and CCOS 2105T).
"
DSM 116141T	strain designation	1	1	strains	"...ain of the novel species is SH051T (=NBRC 116195T=[[DSM 116141T]]).
"
DSM 116106T	strain designation	1	1	strains	... Ureaplasma ceti sp. nov. with type strain OM1T (=[[DSM 116106T]]=JCM 39153T) is proposed. The genomic G+C content ..
DSM 116105T	strain designation	1	1	strains	.... are proposed and the type strains are LD0937T (=[[DSM 116105T]]=NCIMB 15471T) and SCR0063T (=DSM 116297T=NCIMB 15..
DSM 116092T	strain designation	1	1	strains	"...C 115486T=DSM 116091T) and AN17-2T (=NBRC 115487T=[[DSM 116092T]]) as the type strains, respectively.
"
DSM 116091T	strain designation	1	1	strains	..., are proposed for strains AN17-1T (=NBRC 115486T=[[DSM 116091T]]) and AN17-2T (=NBRC 115487T=DSM 116092T) as the t..
DSM 116074T	strain designation	1	1	strains	...for B. aquikefiricola WK041_4_12T (= LMG 33105T = [[DSM 116074T]]; GenBank accession number GCF_041080795.1) has a ..
DSM 116073T	strain designation	1	1	strains	...e strain B. fermentum WK012_4_13T (= LMG 33104T = [[DSM 116073T]]; GenBank accession number GCF_041080835.1) has a ..
DSM 115980T	strain designation	1	1	strains	...myces. Based on these results, strain MA3_2.13T (=[[DSM 115980T]]=LMG 33094T) is proposed as the type strain of a n..
DSM 115857T	strain designation	1	1	strains	"...p. nov. The type strain is KM77-8T (=NBRC 115995T=[[DSM 115857T]]).
"
DSM 115843T	strain designation	1	1	strains	"...ov. is proposed. The type strain is CoE-012-22T (=[[DSM 115843T]]=NCIMB 15468T).
"
DSM 115834T	strain designation	1	1	strains	"... Aquimarina spinulae sp. nov. (type strain Aq349T=[[DSM 115834T]]=UCCCB 170T=ATCC TSD-361T).
"
DSM 115833T	strain designation	1	1	strains	...quimarina aquimarini sp. nov. (type strain Aq135T=[[DSM 115833T]]=UCCCB 169T=ATCC TSD-360T) and Aquimarina spinulae..
DSM 115832T	strain designation	1	1	strains	"...d. The type strain of this species is APC 3343T (=[[DSM 115832T]]=NCIMB 15464T).
"
DSM 115762T	strain designation	1	1	strains	...d chemotaxonomic analyses, SH18-2T (=NBRC 116030T=[[DSM 115762T]]) is the type strain and represents a novel specie..
DSM 115721	strain designation	1	1	strains	"...G/BCCM culture collections under the designations [[DSM 115721]] and LMG 33039, respectively.
"
DSM 115700T	strain designation	1	1	strains	...mes of Aerococcus tenax sp. nov. (ATCC TSD-302T = [[DSM 115700T]] = CCUG 76531T=NR-58630T), Aerococcus mictus sp. n..
DSM 115699T	strain designation	1	1	strains	...30T), Aerococcus mictus sp. nov. (ATCC TSD-301T = [[DSM 115699T]] = CCUG 76532T=NR-58629T), and Aerococcus loyolae ..
DSM 115698T	strain designation	1	1	strains	... and Aerococcus loyolae sp. nov. (ATCC TSD-300T = [[DSM 115698T]] = CCUG 76533T=NR-58628T) for three of the newly i..
DSL-7T	strain designation	1	1	strains	...rved-rod-shaped flagellated bacterium, designated [[DSL-7T]], was isolated from the intestine of Chanodichthys...; ..
DS6T	strain designation	1	1	strains	A novel bacterial strain, designated [[DS6T]], was isolated from the commercial soil for biofer...; ...cal and biochemic
DS-30T	strain designation	1	1	strains	...olyticus OS4T (97.9 %), Nocardioides hankookensis [[DS-30T]] (97.9 %), Nocardioides aquiterrae GW-9T (97.6 %),...
Clostridium botulinum Group I	taxon (not in NCBITaxon)	1	1	study_taxa	...tridium tepidum DSM 104389T and to members of the [[Clostridium botulinum Group I]], such as Clostridium sporogenes D
Ciceribacter azotifigens KACC 19080T	strain designation	1	1	strains	... the highest 16S rRNA gene sequence similarity to [[Ciceribacter azotifigens KACC 19080T]] (97.4%) and Ensifer terang
Chryseobacterium wangxinyae	taxon (not in NCBITaxon)	1	1	study_taxa	...names Chryseobacterium chendengshani sp. nov. and [[Chryseobacterium wangxinyae]] sp. nov. are proposed. The type str
Chryseobacterium daecheongense DSM 15235T	strain designation	1	1	strains	...yseobacterium bernardetii NCTC 13530T (97.1%) and [[Chryseobacterium daecheongense DSM 15235T]] (96.9%). The draft ge
Chryseobacterium chendengshani	taxon (not in NCBITaxon)	1	1	study_taxa	...f the genus Chryseobacterium, for which the names [[Chryseobacterium chendengshani]] sp. nov. and Chryseobacterium wa
Chryseobacterium bernardetii NCTC 13530T	strain designation	1	1	strains	...S rRNA gene sequences to strain 1RM2T were strain [[Chryseobacterium bernardetii NCTC 13530T]] (97.1%) and Chryseobac
Chitinirhabdus sediminis	taxon (not in NCBITaxon)	1	1	study_taxa	... the family Chitinibacteraceae for which the name [[Chitinirhabdus sediminis]] gen. nov., sp. nov. is proposed. The t
Chionosphaera pinicorticola	taxon (not in NCBITaxon)	1	1	study_taxa	...hysiological features, we propose the new species [[Chionosphaera pinicorticola]] sp. nov., with KCTC 37304T (ex-type
Cellulomonas olei	taxon (not in NCBITaxon)	1	1	study_taxa	"...ies of the genus Cellulomonas, for which the name [[Cellulomonas olei]] sp. nov. is proposed.
"
Cellulomonas iranensis NBRC 101100T	strain designation	1	1	strains	... showed that zg-B89T showed highest similarity to [[Cellulomonas iranensis NBRC 101100T]] (99.5 %), zg-Y338T to Cellu
Cellulomonas flavigena DSM 20109T	strain designation	1	1	strains	...nas cellasea DSM 20118T (98.7 %), and zg-Y908T to [[Cellulomonas flavigena DSM 20109T]] (99.0 %). Phylogenetic and ph
Cellulomonas cellasea DSM 20118T	strain designation	1	1	strains	...onas iranensis NBRC 101100T (99.5 %), zg-Y338T to [[Cellulomonas cellasea DSM 20118T]] (98.7 %), and zg-Y908T to Cell
Cauispirillum nitrogeniifigens	taxon (not in NCBITaxon)	1	1	study_taxa	... the family Rhodospirillaceae, for which the name [[Cauispirillum nitrogeniifigens]] gen. nov., sp. nov. is proposed.
Catenibacterium mitsuokai subsp. mitsuokai	taxon (not in NCBITaxon)	1	1	study_taxa	
Catalinimonas locisalis	taxon (not in NCBITaxon)	1	1	study_taxa	...or which the names Tamlana sedimenti sp. nov. and [[Catalinimonas locisalis]] sp. nov. are proposed with the type str
Carbonicoccus zhangzhihongae	taxon (not in NCBITaxon)	1	1	study_taxa	...us Carbonicoccus gen. nov., with the type species [[Carbonicoccus zhangzhihongae]] sp. nov. (type strain Y1685T=KCTC 
Carbonicoccus niuqiaonis	taxon (not in NCBITaxon)	1	1	study_taxa	...type strain Y1685T=KCTC 59535T=GDMCC 1.5547T) and [[Carbonicoccus niuqiaonis]] sp. nov. (type strain Y2011T=KCTC 5953
Carbonatibacter coralli	taxon (not in NCBITaxon)	1	1	study_taxa	... a new species in a new genus, for which the name [[Carbonatibacter coralli]] gen. nov., sp. nov. is proposed. The ty
